iter	Quantile:alpha=0.95
0	63840.04297
1	62083.60552
2	60499.00005
3	58824.91181
4	57280.67127
5	55826.17746
6	54545.41216
7	53159.56479
8	51897.36287
9	50787.13849
10	49691.5707
11	48598.22879
12	47626.33566
13	46666.92417
14	45681.4479
15	44853.43213
16	44033.52979
17	43195.68974
18	42457.09278
19	41796.85609
20	41086.33128
21	40422.15516
22	39776.32262
23	39238.91042
24	38691.25931
25	38064.37108
26	37437.42398
27	36823.03042
28	36212.69584
29	35816.97484
30	35277.93789
31	34759.10058
32	34321.81366
33	33896.30322
34	33372.29496
35	32896.09626
36	32464.38875
37	32120.11732
38	31794.00459
39	31434.97172
40	31050.90422
41	30642.73005
42	30289.19515
43	29991.0455
44	29679.58601
45	29302.35248
46	28948.85207
47	28585.29903
48	28298.0007
49	27983.27836
50	27679.16037
51	27409.09406
52	27101.39565
53	26830.3984
54	26517.66759
55	26214.49248
56	25984.40211
57	25688.77338
58	25455.15775
59	25238.11158
60	25029.29924
61	24847.08546
62	24654.4717
63	24425.99829
64	24237.05199
65	24037.93731
66	23837.72241
67	23653.42293
68	23423.43546
69	23210.69115
70	23035.67423
71	22838.67768
72	22619.23588
73	22421.02848
74	22210.25714
75	22023.97165
76	21818.99451
77	21637.84266
78	21455.91056
79	21314.37607
80	21127.18399
81	20967.84658
82	20765.13765
83	20595.43667
84	20438.77174
85	20274.55644
86	20173.85851
87	20033.66747
88	19876.8405
89	19736.54758
90	19624.7189
91	19481.22781
92	19340.8547
93	19221.56774
94	19083.90493
95	18946.65639
96	18805.07948
97	18695.31644
98	18559.01743
99	18438.95938
100	18324.56895
101	18212.41252
102	18080.15516
103	17966.2404
104	17849.52887
105	17735.39615
106	17633.83246
107	17557.14746
108	17456.0031
109	17362.75144
110	17256.78725
111	17156.46576
112	17072.34287
113	16959.13664
114	16850.58871
115	16737.71029
116	16641.40526
117	16537.694
118	16460.68353
119	16375.27584
120	16290.91698
121	16210.21185
122	16098.4151
123	15998.16881
124	15926.82991
125	15814.31113
126	15713.04507
127	15624.73185
128	15539.79847
129	15446.49299
130	15351.97289
131	15276.35256
132	15188.77111
133	15101.49621
134	15030.97902
135	14951.98237
136	14885.8802
137	14815.27235
138	14748.82673
139	14682.26328
140	14612.89003
141	14535.74945
142	14455.71928
143	14395.43582
144	14325.17058
145	14268.19015
146	14185.3358
147	14107.74906
148	14040.96874
149	13977.07801
150	13917.15952
151	13849.74265
152	13788.35666
153	13734.43017
154	13669.0908
155	13623.76642
156	13566.90804
157	13507.40316
158	13451.28641
159	13400.22293
160	13349.38904
161	13288.69373
162	13238.4377
163	13185.87397
164	13133.50875
165	13084.01978
166	13029.5831
167	12977.92036
168	12925.28913
169	12881.11311
170	12834.91223
171	12787.55868
172	12734.4898
173	12696.95659
174	12646.3596
175	12603.53325
176	12554.47237
177	12506.30474
178	12456.82192
179	12418.84979
180	12380.1564
181	12339.00562
182	12302.29967
183	12266.61611
184	12229.47969
185	12193.00675
186	12155.89843
187	12110.95911
188	12072.65535
189	12035.95046
190	11999.39247
191	11956.13807
192	11918.52233
193	11877.71075
194	11842.38381
195	11806.52247
196	11773.04876
197	11741.01988
198	11705.54096
199	11675.16539
200	11644.15485
201	11605.3362
202	11567.03564
203	11535.37432
204	11506.60306
205	11481.32536
206	11451.46902
207	11415.90305
208	11388.77684
209	11363.34824
210	11332.71535
211	11302.11905
212	11276.79006
213	11253.12242
214	11227.15049
215	11207.76422
216	11178.21395
217	11149.48841
218	11121.61927
219	11098.33823
220	11076.4767
221	11052.27597
222	11026.80454
223	10999.44124
224	10971.41424
225	10942.76881
226	10920.59238
227	10898.92979
228	10874.2424
229	10850.85647
230	10821.07538
231	10795.90826
232	10771.36241
233	10747.86895
234	10725.66271
235	10701.10406
236	10676.45802
237	10658.28293
238	10642.63384
239	10621.40512
240	10600.94717
241	10583.15965
242	10566.07223
243	10547.57145
244	10524.43708
245	10506.29159
246	10488.98292
247	10466.40134
248	10446.59486
249	10430.53709
250	10409.0377
251	10393.33994
252	10376.61944
253	10359.39209
254	10342.33589
255	10327.1606
256	10307.57736
257	10291.07905
258	10273.37349
259	10260.12409
260	10242.08638
261	10227.79905
262	10210.62495
263	10198.6369
264	10182.26333
265	10169.27427
266	10150.87705
267	10136.46312
268	10119.91337
269	10107.82721
270	10093.44084
271	10079.98059
272	10068.30228
273	10052.86613
274	10041.35461
275	10028.1861
276	10012.27161
277	9996.493265
278	9979.513724
279	9966.362896
280	9953.816533
281	9936.723119
282	9923.550346
283	9909.182548
284	9897.142914
285	9885.231814
286	9871.513396
287	9860.884897
288	9849.39138
289	9837.519973
290	9827.642103
291	9814.987404
292	9802.137317
293	9792.40772
294	9780.03583
295	9769.853977
296	9758.20554
297	9745.892725
298	9736.707337
299	9727.078606
300	9717.596639
301	9709.249049
302	9699.686636
303	9692.73246
304	9683.342507
305	9673.19977
306	9664.354353
307	9652.703494
308	9645.18196
309	9633.544561
310	9624.377631
311	9615.95273
312	9606.71643
313	9597.658682
314	9589.870593
315	9578.332533
316	9570.512971
317	9562.034362
318	9553.442241
319	9542.695405
320	9534.253058
321	9525.67302
322	9514.938849
323	9508.495065
324	9502.041299
325	9496.399062
326	9488.647297
327	9478.625019
328	9468.428515
329	9460.258913
330	9453.271572
331	9445.546055
332	9436.940177
333	9429.262558
334	9422.686012
335	9410.664489
336	9401.964155
337	9394.143641
338	9384.323175
339	9375.629202
340	9366.725905
341	9358.698188
342	9349.01268
343	9341.769779
344	9332.909783
345	9325.700195
346	9318.363674
347	9311.155882
348	9304.929456
349	9298.518489
350	9291.139432
351	9281.341128
352	9273.827592
353	9266.552382
354	9260.582056
355	9254.703796
356	9247.516827
357	9240.316968
358	9233.878134
359	9229.058106
360	9221.822714
361	9216.515588
362	9210.053657
363	9202.96186
364	9197.256198
365	9191.452761
366	9185.049936
367	9178.622328
368	9172.983384
369	9167.80794
370	9162.097804
371	9154.044082
372	9147.341616
373	9140.489383
374	9133.012484
375	9126.354966
376	9119.808516
377	9114.861175
378	9109.283663
379	9103.494767
380	9097.63755
381	9090.886609
382	9083.667508
383	9080.237378
384	9074.901119
385	9068.512725
386	9061.392373
387	9055.281562
388	9051.270028
389	9046.314809
390	9039.660594
391	9034.933038
392	9030.577124
393	9025.560269
394	9020.174042
395	9013.890029
396	9007.36505
397	9001.316133
398	8997.571413
399	8993.277738
400	8988.09648
401	8983.28886
402	8977.998345
403	8972.967923
404	8966.603207
405	8960.238987
406	8954.494588
407	8949.442445
408	8944.243215
409	8939.442574
410	8934.298591
411	8929.071086
412	8924.703651
413	8919.373366
414	8915.063014
415	8910.219513
416	8906.537087
417	8901.357694
418	8894.924714
419	8889.870607
420	8884.665878
421	8880.559896
422	8875.646123
423	8872.002645
424	8867.39487
425	8861.371247
426	8856.58601
427	8853.139374
428	8847.863692
429	8842.652627
430	8838.85494
431	8834.557219
432	8830.883697
433	8824.644729
434	8820.44178
435	8814.743528
436	8810.222134
437	8806.427011
438	8801.918248
439	8796.691695
440	8791.777943
441	8785.958586
442	8781.927487
443	8776.922261
444	8771.826898
445	8767.384041
446	8762.784171
447	8759.427339
448	8754.465152
449	8750.181309
450	8745.535148
451	8741.771768
452	8737.226582
453	8733.664334
454	8729.090446
455	8725.294984
456	8721.240114
457	8717.385697
458	8713.087183
459	8708.669442
460	8704.954006
461	8701.449155
462	8695.969
463	8692.327704
464	8688.220885
465	8683.647709
466	8679.7384
467	8676.364067
468	8671.058384
469	8665.801543
470	8662.394832
471	8657.807502
472	8655.131358
473	8651.39587
474	8647.368912
475	8644.48697
476	8639.827314
477	8637.029158
478	8633.227855
479	8629.7075
480	8625.806851
481	8622.503996
482	8618.951402
483	8616.21702
484	8612.339791
485	8608.817999
486	8606.298871
487	8601.318408
488	8598.607148
489	8595.241008
490	8591.687144
491	8586.494364
492	8583.850602
493	8579.471442
494	8576.680472
495	8573.850138
496	8569.584147
497	8566.959512
498	8563.354832
499	8559.813289
500	8556.566567
501	8552.10068
502	8549.343807
503	8545.948795
504	8542.921026
505	8539.193199
506	8534.32919
507	8530.664076
508	8527.057873
509	8523.49692
510	8519.306295
511	8515.893167
512	8513.435996
513	8510.753079
514	8507.29624
515	8503.002041
516	8500.000705
517	8496.983089
518	8494.155119
519	8490.303473
520	8485.936607
521	8482.131112
522	8477.691023
523	8473.987011
524	8471.07981
525	8468.376008
526	8465.605224
527	8461.189344
528	8458.180699
529	8455.752409
530	8453.099482
531	8449.951507
532	8446.419336
533	8443.456234
534	8440.310872
535	8437.599558
536	8435.838492
537	8433.525938
538	8431.254435
539	8428.51893
540	8425.901889
541	8421.936599
542	8418.65793
543	8414.81868
544	8412.974634
545	8410.289194
546	8406.84774
547	8404.580194
548	8402.9507
549	8399.771854
550	8395.970755
551	8392.551674
552	8389.249951
553	8386.456435
554	8383.44259
555	8379.84514
556	8377.57152
557	8374.851255
558	8372.692034
559	8368.022051
560	8364.769701
561	8362.209982
562	8359.146901
563	8356.326128
564	8353.236287
565	8349.73094
566	8347.203911
567	8344.86702
568	8341.841874
569	8339.457315
570	8336.869739
571	8334.047677
572	8332.65536
573	8329.200284
574	8326.620562
575	8324.453659
576	8322.184497
577	8317.876694
578	8315.027915
579	8313.662648
580	8310.427989
581	8308.827078
582	8306.056397
583	8303.270808
584	8300.432292
585	8297.775083
586	8295.778089
587	8292.596777
588	8289.416189
589	8287.402501
590	8284.784487
591	8282.414939
592	8279.311874
593	8277.228844
594	8274.476026
595	8271.527943
596	8269.316539
597	8266.302544
598	8264.450722
599	8261.98232
600	8260.389001
601	8257.823782
602	8255.383352
603	8253.293151
604	8251.162531
605	8248.060933
606	8246.040233
607	8244.069751
608	8240.307454
609	8238.230162
610	8235.080561
611	8232.39342
612	8230.560582
613	8228.704198
614	8226.300678
615	8223.639822
616	8221.098074
617	8218.287752
618	8216.210912
619	8213.064964
620	8210.471179
621	8207.755562
622	8205.825572
623	8204.317831
624	8201.917102
625	8199.280725
626	8197.684454
627	8195.299952
628	8193.614644
629	8190.814529
630	8189.052272
631	8187.409449
632	8185.115289
633	8183.477036
634	8180.889396
635	8177.456684
636	8175.756425
637	8174.124745
638	8172.147726
639	8170.329846
640	8167.710319
641	8165.664757
642	8164.044725
643	8162.304378
644	8159.993403
645	8157.86514
646	8156.708305
647	8154.56467
648	8152.600219
649	8151.057242
650	8149.591434
651	8147.150441
652	8145.368366
653	8143.213615
654	8141.181255
655	8139.336233
656	8135.539573
657	8132.681449
658	8130.629831
659	8128.181312
660	8125.492967
661	8124.396507
662	8122.183347
663	8120.906736
664	8118.344404
665	8116.769362
666	8114.381184
667	8112.206847
668	8110.06854
669	8108.24501
670	8106.240692
671	8104.538129
672	8100.836336
673	8098.099599
674	8095.828211
675	8094.361854
676	8092.3046
677	8090.290344
678	8088.449414
679	8086.092498
680	8084.581357
681	8082.633917
682	8080.884765
683	8079.208785
684	8077.604083
685	8075.517102
686	8073.894286
687	8071.019802
688	8069.318009
689	8067.322392
690	8066.196958
691	8063.982761
692	8061.729706
693	8060.349045
694	8057.658501
695	8054.503392
696	8052.915428
697	8050.386204
698	8048.610765
699	8046.39286
700	8044.269192
701	8042.626798
702	8040.440409
703	8038.946081
704	8036.012104
705	8033.701951
706	8032.006306
707	8027.833742
708	8025.583802
709	8023.672321
710	8022.240449
711	8020.687821
712	8018.187266
713	8016.038906
714	8013.892491
715	8011.846792
716	8010.215074
717	8008.347468
718	8006.860925
719	8005.050874
720	8003.172845
721	8000.903671
722	7999.710477
723	7998.23368
724	7996.943796
