iter	Passed	Remaining
0	489	1468418
1	1074	1611128
2	1736	1734385
3	2329	1744542
4	2965	1776496
5	3433	1713245
6	3905	1669892
7	4460	1668124
8	5163	1715906
9	5807	1736587
10	6341	1723117
11	6860	1708184
12	7297	1676722
13	7816	1667200
14	8351	1661992
15	8842	1649053
16	9387	1647246
17	9905	1641077
18	10401	1631892
19	10858	1617845
20	11530	1635708
21	12074	1634471
22	12708	1644942
23	13154	1631173
24	13658	1625404
25	14277	1633131
26	14758	1625101
27	15279	1621847
28	15929	1631912
29	16441	1627684
30	17011	1629239
31	17544	1627298
32	18040	1621994
33	18548	1618098
34	19045	1613423
35	19603	1614037
36	20111	1610523
37	20605	1606110
38	21062	1599141
39	21670	1603618
40	22368	1614321
41	22943	1615871
42	23420	1610592
43	23851	1602380
44	24330	1597734
45	24833	1594747
46	25309	1590164
47	25832	1588694
48	26369	1588070
49	27278	1609412
50	27768	1605652
51	28269	1602669
52	28737	1597912
53	29213	1593764
54	29646	1587450
55	30080	1581364
56	30530	1576351
57	30972	1571073
58	31399	1565189
59	31717	1554168
60	31995	1541545
61	32206	1526167
62	32406	1510740
63	32641	1497428
64	32883	1484838
65	33142	1473356
66	33358	1460324
67	33576	1447725
68	33811	1436264
69	34030	1424424
70	34255	1413175
71	34505	1403237
72	34747	1393215
73	34996	1383767
74	35248	1374710
75	35544	1367533
76	35804	1359181
77	36048	1350437
78	36291	1341874
79	36513	1332730
80	36765	1324920
81	36982	1316048
82	37224	1308255
83	37464	1300555
84	37717	1293496
85	37969	1286545
86	38152	1277460
87	38404	1270829
88	38661	1264523
89	38939	1259047
90	39345	1257768
91	39757	1256679
92	40188	1256201
93	40608	1255396
94	41058	1255510
95	41541	1256617
96	41996	1256873
97	42476	1257815
98	42961	1258901
99	43409	1258885
100	43880	1259511
101	44301	1258684
102	44726	1257996
103	45118	1256386
104	45534	1255460
105	45965	1254942
106	46375	1253883
107	46753	1251962
108	47210	1252151
109	47720	1253742
110	48260	1256073
111	48735	1256688
112	49113	1254794
113	49581	1255187
114	50017	1254784
115	50429	1253781
116	50865	1253369
117	51291	1252733
118	51711	1251950
119	52161	1251878
120	52627	1252184
121	53154	1253934
122	53644	1254754
123	54098	1254731
124	54478	1253007
125	54954	1253492
126	55431	1253965
127	55871	1253626
128	56275	1252454
129	56722	1252248
130	57148	1251599
131	57565	1250738
132	57949	1249181
133	58344	1247881
134	58766	1247151
135	59228	1247278
136	59618	1245888
137	60082	1246061
138	60527	1245831
139	61069	1247572
140	61625	1249547
141	62095	1249774
142	62646	1251612
143	63221	1253883
144	63676	1253771
145	64141	1253839
146	64681	1255341
147	65226	1256924
148	65706	1257243
149	66150	1256867
150	66801	1260388
151	67286	1260732
152	67820	1261998
153	68291	1262067
154	68678	1260589
155	68929	1256631
156	69239	1253809
157	69514	1250375
158	69792	1247045
159	70057	1243512
160	70319	1239987
161	70604	1236880
162	70899	1233996
163	71175	1230812
164	71466	1227922
165	71760	1225114
166	72054	1222330
167	72343	1219510
168	72615	1216418
169	72921	1213920
170	73199	1211010
171	73483	1208203
172	73761	1205334
173	74029	1202342
174	74315	1199670
175	74594	1196896
176	74895	1194514
177	75183	1191954
178	75470	1189396
179	75748	1186723
180	76021	1184010
181	76277	1181042
182	76550	1178368
183	76819	1175674
184	77086	1172965
185	77349	1170221
186	77629	1167763
187	77899	1165184
188	78175	1162712
189	78422	1159823
190	78684	1157196
191	78960	1154793
192	79241	1152493
193	79516	1150122
194	79784	1147676
195	80070	1145498
196	80346	1143197
197	80628	1141019
198	80920	1138980
199	81184	1136580
200	81460	1134364
201	81751	1132385
202	82020	1130105
203	82289	1127856
204	82591	1126071
205	82836	1123522
206	83085	1121055
207	83371	1119104
208	83646	1117023
209	83905	1114746
